author,name,description,image
Notar,Notar,"Class: couch cookie. Like a couch potato except cookie.

Attribute: horizontal

Description: 
“Often found lying on the floor surrounded by cookies and some method to watch streams of Ninomae Ina’nis of Hololive English. Although called a ‘couch’ cookie, they are more often found lying on a floor. This misnomer comes from the first few sightings of them on couches, but we now know the couch cookie will sleep on many surfaces, beds, floors, sometimes tables. 

This species of takodachi has been spotted consuming massive amounts of cookies while not moving from its place of rest. Despite this, the couch cookie does not gain mass, this is likely due to the connection with the void. 

It is a rare occurrence to witness the couch cookie move from its position, and only a few documented cases have been recorded. This is usually done to either change its sleeping point to a cooler area or to restock its cookie pile, at which point, the couch cookie will lie down once more and settle to watch streams of Ninomae Ina’nis from Hololive English.

However, in secret, even fewer sightings are seen of the couch cookie spreading awareness of their priestess through comments and posts on other sites, furthering the silent movement of WAHrld domINAtion as all takodachis do”",
Husker,Husker,"Class / Category: Quiet Tide Tako
Attributes: Patient / Steadfast

Description:
""Content to drift in the calmer currents, this Tako watches from the shadows of the reef, its presence felt more than seen. Though rarely at the forefront, it remains ever loyal to the Priestess, offering silent support through every voyage. When the tides of celebration come, it surfaces with a gentle wave, reminding all that the deep still holds many faithful hearts.""",
Scalim,Scalim,"Class: Mage
Attributes: Optimistic / Squishy
This Optimistic Mage serves with a boundless sense of cheer, casting spells that shimmer with positivity and light. Despite their incredibly Squishy form, which isn't built for direct combat, their resilience is unmatched; they always bounce back with a smile. Their magic is often a shield of support and comfort, proving that true power comes not from brute force, but from an unwavering, hopeful heart.",https://drive.google.com/open?id=1Sxk_WPNhO_YxPgArNESUcAAp3BdeBG7X
Asarai,Asarai,"Class: Lurker
Attributes: Comfy / Potato

""One of many, this Tako gathers cute and comfortable stuff Like A Dragon and it's pile of gold. Although it remains unseen most of the time, it shows support in its' own comfy ways by silently watching and cheering occasionally whilst drowning in the comfortable depths of their pillows.""",
Kurasu Kanon,Kanon,"Category: Just a lil guy
Attributes: Round / Lazy

""This Tako prefers to lay on the floor of an air-conditioned room. Small though they may be, these round entities are some of the most numerous, and just like any other Tako, the Priestess's presence fills them with happiness.""",https://drive.google.com/open?id=127zSDHEhLhBzIDF3W7TSfTO2Hhgp2kas
"Kaede, Acolyte of Wahtcher",Kaede Nakamura,"Category: Priestess
Attributes: Devout/Warm

""A Priestess from a parallel world, this humanoids Tako resides in a shrine dedicated to Wahtcher. There were more of her kind in her world, but they have fled to the void between worlds during a war. She has striking similarities to the priestess of AO, Ninomae Ina'nis. Kaede's main ability is spiritual healing, but has been known to have the ability to hop between dimensions, exorcise demons, and make use of her third eye. She prefers to stay hidden from the world, as her kind has had conflict with humans in the past.",https://drive.google.com/open?id=1hWofCms-hH89rUQw7x_EWL3Mmk1icf7M
Hiu,Normiedachi,"Membership: WAHdomination Malaysia Branch Member
Attributes: Hidden/ Squishy

""A secret member of WAHdomination Malaysia Branch, this tako stay hidden and waiting for the command of Priestess INA. Its responsible is to transform people into Takodachi if there is a chance. This tako is extremely solidary  and will not appear in normal occasion.""
",
Bolt,Bolt,"Categore:Merch consumer 
Attributes: Sleepy / small

""A Takodachi that found his happiness in collecting all artifacts that have connection to the Priestess, proseeds to spend a huge amount of his income on artifacts so he has to work a lot to cover it,compensates his lack of sleep with energy drinks

Class: Cannon ball
Attributes: Lazy / Big

""Lazy Takodachi that grew so big he can work as cannon ball, After the shot refuses going back to base so others tako's have to pick him up back",
Kodithehoomanshark🌙🥐,Takohoomanshark,"Category:Tako commander of the second batalion takochi
Attributes:Strong/squishy/stealthy/cute/loyal/dumb/strong swimmer/water control/sword master

A loyal follower of the Priestess, this Tako is a very high ranking tako in the tako nation, it is said that only ten Tako commanders are left in the nation. THERE WERE ORIGINALY 100 OF THEM BEFORE THE GREAT Rampage In Atlantis 90 Of Them We're WIPED OUT DUE to the power gap between the Takos and the Priestess rampaging form. 

Class:batalion commander
Attributes: smol and cute",
Yato Tako,Yato Takoyaki,,https://drive.google.com/open?id=180B1ogQSI3z0VbgKKMQ_qVt2SR76Wz3Y
